name,rating,cost,cuisine,rating_count_num,city
CRAZY PAKODA,3.89446135316808,200.0,Snacks,0.0,Adityapur
Lounge And Sky Dining,3.89446135316808,300.0,"North Indian,Chinese",0.0,Adityapur
Momo Square,3.3,200.0,"Tibetan,Nepalese",50.0,Adityapur
SAI REGENCY,4.0,200.0,"Indian,Biryani",100.0,Adityapur
Wok Tok Asia,3.89446135316808,299.0,Chinese,0.0,Adityapur
Jiva Hotel,4.2,599.0,"North Indian,Chinese",100.0,Adityapur
T Matter,3.89446135316808,300.0,"Beverages,Fast Food",0.0,Adityapur
Ice Cream Conection,3.89446135316808,200.0,"Beverages,Desserts",0.0,Adityapur
Nani's Homemade Chocolates,3.89446135316808,100.0,Desserts,0.0,Adityapur
Lalaji,3.89446135316808,250.0,Indian,0.0,Adityapur
Galaxy Sweet & Snacks,3.8,150.0,"Chinese,Snacks",20.0,Adityapur
BAKING LOVE BY ANITA,3.89446135316808,100.0,Bakery,0.0,Adityapur
THAALI WALA (Pure Veg Thali),3.2,199.0,"Thalis,Indian",20.0,Adityapur
Aqua Fumes,3.89446135316808,400.0,"Chinese,Beverages",0.0,Adityapur
The Food Bowl,3.89446135316808,200.0,"Chinese,Continental",0.0,Adityapur
Mad Jack Continental & South Indian,3.89446135316808,200.0,"Indian,South Indian",0.0,Adityapur
3 Peg Restro & Bar,3.89446135316808,200.0,"Indian,Chinese",0.0,Adityapur
Retro Garden,3.89446135316808,200.0,"Chinese,North Indian",0.0,Adityapur
BURGER BUDDY,4.2,150.0,"Burgers,Street Food",100.0,Adityapur
Biryani King,3.89446135316808,200.0,"Biryani,North Indian",0.0,Adityapur
Happier,3.89446135316808,200.0,"South Indian,North Indian",0.0,Adityapur
DynaBite,3.89446135316808,100.0,"North Indian,South Indian",0.0,Adityapur
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",3.89446135316808,200.0,"Beverages,Desserts",0.0,Adityapur
Kavya Momos,3.89446135316808,150.0,"Street Food,Chinese",0.0,Adityapur
The Sandwich Co,3.89446135316808,200.0,"Snacks,Beverages",0.0,Adityapur
Biryani Blooms,3.89446135316808,200.0,"Biryani,Chinese",0.0,Adityapur
VADILAL ICE CREAMS,4.6,200.0,Ice Cream,50.0,Adityapur
Fusion Restaurant,3.9,350.0,"North Indian,Chinese",500.0,Adityapur
The Height 18,3.0,200.0,"Indian,Chinese",20.0,Adityapur
The Villa (Malgudi Station),3.89446135316808,200.0,"South Indian,Desserts",0.0,Adityapur
CHEERS PARATHA,3.89446135316808,300.0,"North Indian,Chinese",0.0,Adityapur
The Bun Factory,3.89446135316808,200.0,"Snacks,Beverages",0.0,Adityapur
Coffee House,3.89446135316808,150.0,"Beverages,Snacks",0.0,Adityapur
Ande Ka Funda,3.89446135316808,199.0,Snacks,0.0,Adityapur
Dosa Cafe (Hotel Ganga Regency),4.5,199.0,South Indian,100.0,Adityapur
Hotel Ganga Regency,4.2,399.0,"Indian,Chinese",1000.0,Adityapur
BASANT PARCEL,3.6,100.0,"North Indian,Chinese",20.0,Adityapur
MURARI BHOJANALAY,4.1,199.0,Indian,100.0,Adityapur
PIZZA 99,3.5,200.0,"Pizzas,Burgers",20.0,Adityapur
New Gangour Sweets (sakchi),4.2,199.0,"Sweets,Snacks",50.0,Adityapur
WOK (Hotel Ganga Regency),3.8,400.0,"Chinese,Continental",50.0,Adityapur
The Horizon Eatery,3.89446135316808,299.0,"Chinese,Mughlai",0.0,Adityapur
AM 2 PM  Foods,3.89446135316808,200.0,"Indian,North Indian",0.0,Adityapur
Junction Pure Veg Fast Food,3.8,200.0,"Street Food,Chinese",20.0,Adityapur
DOSA JUNCTION,3.1,150.0,South Indian,20.0,Adityapur
Lal's Fast Food,3.89446135316808,200.0,"Indian,Chinese",0.0,Adityapur
The Cake House,4.5,399.0,Bakery,20.0,Adityapur
